UMAP 1,UMAP 2,UMAP 3
4.946798,4.989847,-2.0437205
5.8578053,-2.0336344,1.329648
5.859182,-2.0360065,1.3324075
5.859695,-2.0364344,1.3329675
5.8598137,-2.0368953,1.3336302
2.929547,9.894443,-8.091506
2.9042294,9.870485,-8.095549
-1.3390198,10.2010145,16.339855
3.598039,10.183762,-7.875154
3.5965836,10.301157,-7.9038773
3.565034,10.304823,-7.930503
3.5305433,10.30209,-7.964749
3.5629513,10.304438,-7.9322405
-9.155049,10.495056,0.21856216
-11.311633,-2.6054049,3.7976778
-11.302293,-2.7357054,3.691966
16.639849,-8.329946,-10.809717
-6.3130956,-5.7976146,7.1245217
8.344041,-2.199838,12.806961
-5.458225,11.477454,-15.138719
16.16739,5.1216,-4.8524556
1.1920741,-15.16695,1.2656326
-4.122361,-11.399691,-7.8158436
11.196929,-16.665085,6.2234974
19.572577,-6.5643973,4.262346
10.147207,-13.333012,-9.883299
-5.4308186,17.408451,-7.8960986
-5.4610667,17.445074,-7.955942
-5.350585,17.303984,-7.922845
13.558776,17.872284,-15.943157
-8.96147,10.196239,0.5009199
-4.166763,5.244198,12.041536
-7.9133763,13.31418,8.119062
0.5056317,0.30902487,3.119292
1.810227,3.7580287,-0.4105292
-10.861407,6.6151977,13.900676
20.350729,1.1019497,-8.096579
21.135208,-0.7953552,-14.029457
12.533371,-0.08868767,-14.623112
7.71834,-11.341105,12.376179
-1.557803,10.506948,17.024006
9.214582,13.486904,2.8336532
9.264076,14.367956,3.1418977
9.064446,13.644359,4.0334263
8.823165,13.522698,3.3492427
8.97374,14.038669,3.440513
8.525114,13.841192,3.4086967
-9.500639,10.196606,0.6733101
4.2950535,10.789547,-7.5552754
-4.4574027,4.9456325,11.746986
-7.9130607,13.313798,8.118724
-5.414322,14.250766,0.647749
-0.7002887,-7.82376,8.869141
-0.7104255,-7.813638,8.865757
10.479418,10.9689045,-11.629714
-2.8062904,-4.297297,8.286134
